"interaction","name","selected","shared interaction","shared name","start_year"
"Communist Official","Sinkiang (Communist Official) 陳潭秋","false","Communist Official","Sinkiang (Communist Official) 陳潭秋","1939"
"Head","Guangdong Regional Committee (Head) 陳延年","false","Head","Guangdong Regional Committee (Head) 陳延年","1925"
"Member","Chinese people 's political consultative conference (Member) 陳寅恪","false","Member","Chinese people 's political consultative conference (Member) 陳寅恪","1959"
"Member","Chinese people 's political consultative conference (Member) 黃紹竑","false","Member","Chinese people 's political consultative conference (Member) 黃紹竑","1959"
"Member","Chinese people 's political consultative conference (Member) 簡照南","false","Member","Chinese people 's political consultative conference (Member) 簡照南","1949"
"Member","Chinese people 's political consultative conference (Member) 李德全","false","Member","Chinese people 's political consultative conference (Member) 李德全","1953"
"Member","Chinese people 's political consultative conference (Member) 劉文輝","false","Member","Chinese people 's political consultative conference (Member) 劉文輝","1951"
"Member","Chinese people 's political consultative conference (Member) 盧漢","false","Member","Chinese people 's political consultative conference (Member) 盧漢","1951"
"Member","Chinese people 's political consultative conference (Member) 馬寅初","false","Member","Chinese people 's political consultative conference (Member) 馬寅初","1959"
"Member","Chinese people 's political consultative conference (Member) 潘光旦","false","Member","Chinese people 's political consultative conference (Member) 潘光旦","1959"
"Member","Chinese people 's political consultative conference (Member) 葉恭綽","false","Member","Chinese people 's political consultative conference (Member) 葉恭綽","1954"
"Member","Guomingdang (Member) 閻錫山","false","Member","Guomingdang (Member) 閻錫山","1928"
"Secretary General","China League for Civil Rights (Secretary General) 楊銓","false","Secretary General","China League for Civil Rights (Secretary General) 楊銓","1932"
"Secretary General","China League for Civil Rights (Secretary General) 楊銓","false","Secretary General","China League for Civil Rights (Secretary General) 楊銓","1932"
"Executive Committee Member","China League for Civil Rights (Executive Committee Member) 周樹人","false","Executive Committee Member","China League for Civil Rights (Executive Committee Member) 周樹人","1933"
"Member","China League for Civil Rights (Member) 周樹人","false","Member","China League for Civil Rights (Member) 周樹人","1933"
"Member","Zhonghua Guomindang (Member) 詹大悲","false","Member","Zhonghua Guomindang (Member) 詹大悲","1914"
"Member","Guangfuhui [restoration Society] (Member) 章炳麟","false","Member","Guangfuhui [restoration Society] (Member) 章炳麟","1903"
"Member","Guangfuhui [restoration Society] (Member) 張繼","false","Member","Guangfuhui [restoration Society] (Member) 張繼","1904"
"Member","All-China Federation of Literary and Art Circles (Member) 艾青","false","Member","All-China Federation of Literary and Art Circles (Member) 艾青","1953"
"Standing Committee Member","All-China Federation of Literary and Art Circles (Standing Committee Member) 曹禺","false","Standing Committee Member","All-China Federation of Literary and Art Circles (Standing Committee Member) 曹禺","1949"
"Chairman","All-China Federation of Literary and Art Circles (Chairman) 郭沫若","false","Chairman","All-China Federation of Literary and Art Circles (Chairman) 郭沫若","1949"
"Chairman","All-China Federation of Literary and Art Circles (Chairman) 何其芳","false","Chairman","All-China Federation of Literary and Art Circles (Chairman) 何其芳","1940"
"Member","All-China Federation of Literary and Art Circles (Member) 梅蘭芳","false","Member","All-China Federation of Literary and Art Circles (Member) 梅蘭芳","1953"
"Member","All-China Federation of Literary and Art Circles (Member) 歐陽予倩","false","Member","All-China Federation of Literary and Art Circles (Member) 歐陽予倩","1949"
"Member","All-China Federation of Literary and Art Circles (Member) 田漢","false","Member","All-China Federation of Literary and Art Circles (Member) 田漢","1949"
"National Committee Member","All-China Federation of Literary and Art Circles (National Committee Member) 熊佛西","false","National Committee Member","All-China Federation of Literary and Art Circles (National Committee Member) 熊佛西","1953"
"National Committee Member","All-China Federation of Literary and Art Circles (National Committee Member) 熊佛西","false","National Committee Member","All-China Federation of Literary and Art Circles (National Committee Member) 熊佛西","1960"
"Member","All-China Federation of Literary and Art Circles (Member) 葉淺予","false","Member","All-China Federation of Literary and Art Circles (Member) 葉淺予","1960"
"Presidium Member","All-China Federation of Literary and Art Circles (Presidium Member) 周揚","false","Presidium Member","All-China Federation of Literary and Art Circles (Presidium Member) 周揚","1949"
"Vice Chairman","All-China Federation of Literary and Art Circles (Vice Chairman) 周揚","false","Vice Chairman","All-China Federation of Literary and Art Circles (Vice Chairman) 周揚","1949"
"Chairman","Central Party History Committee (Chairman) 張繼","false","Chairman","Central Party History Committee (Chairman) 張繼","1937"
"Member","Zhengwenshe (Member) 張嘉森","false","Member","Zhengwenshe (Member) 張嘉森","1907"
"Secretary general","Reformed Guomindang (Secretary general) 褚民誼","false","Secretary general","Reformed Guomindang (Secretary general) 褚民誼","1939"
"Secretary","Guangdong Provincial Committee (Secretary) 張太雷","false","Secretary","Guangdong Provincial Committee (Secretary) 張太雷",
"President","Marx-Lenin Academy (President) 張聞天","false","President","Marx-Lenin Academy (President) 張聞天","1940"
